               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,     metrics/mAP_0.5,               x/lr0,               x/lr1,               x/lr2
0,0.10146,0.096104,0.052437,0.2395,0.035849,0.0033282,0.0033282,0.070046
1,0.079789,0.080517,0.041642,0.36214,0.067422,0.0065956,0.0065956,0.03998
2,0.073971,0.077037,0.035993,0.45649,0.13344,0.009797,0.009797,0.0098484
3,0.066757,0.074876,0.032855,0.48946,0.17622,0.009703,0.009703,0.009703
4,0.062488,0.072661,0.030244,0.52332,0.21402,0.009703,0.009703,0.009703
5,0.060133,0.071477,0.028551,0.57395,0.24254,0.009604,0.009604,0.009604
6,0.058708,0.071345,0.027367,0.45237,0.2677,0.009505,0.009505,0.009505
7,0.057595,0.070332,0.026266,0.34574,0.27415,0.009406,0.009406,0.009406
8,0.056531,0.069228,0.02548,0.46307,0.2971,0.009307,0.009307,0.009307
9,0.055959,0.068051,0.024815,0.46858,0.30378,0.009208,0.009208,0.009208
10,0.055229,0.067382,0.024115,0.49458,0.31854,0.009109,0.009109,0.009109
11,0.054683,0.068112,0.023706,0.49013,0.33287,0.00901,0.00901,0.00901
12,0.053975,0.06721,0.023193,0.50928,0.33863,0.008911,0.008911,0.008911
13,0.053554,0.067005,0.022784,0.49644,0.35154,0.008812,0.008812,0.008812
14,0.053469,0.066501,0.022471,0.50235,0.35385,0.008713,0.008713,0.008713
15,0.053088,0.066886,0.022111,0.42304,0.35837,0.008614,0.008614,0.008614
16,0.052621,0.065917,0.02179,0.42592,0.35948,0.008515,0.008515,0.008515
17,0.052289,0.06618,0.021532,0.42132,0.36958,0.008416,0.008416,0.008416
18,0.052047,0.0662,0.021187,0.45208,0.37185,0.008317,0.008317,0.008317
19,0.051796,0.064918,0.021004,0.44882,0.3826,0.008218,0.008218,0.008218
20,0.051321,0.06566,0.020926,0.45661,0.3874,0.008119,0.008119,0.008119
21,0.051301,0.065861,0.020362,0.45112,0.38943,0.00802,0.00802,0.00802
22,0.050929,0.065744,0.020272,0.44807,0.39118,0.007921,0.007921,0.007921
23,0.051015,0.064884,0.020134,0.47454,0.39663,0.007822,0.007822,0.007822
24,0.050878,0.065294,0.019789,0.43929,0.39924,0.007723,0.007723,0.007723
25,0.050364,0.064182,0.019648,0.43536,0.4046,0.007624,0.007624,0.007624
26,0.050344,0.064648,0.019465,0.46352,0.4093,0.007525,0.007525,0.007525
27,0.050169,0.065175,0.019393,0.4623,0.40676,0.007426,0.007426,0.007426
28,0.049873,0.063383,0.01919,0.46306,0.41223,0.007327,0.007327,0.007327
29,0.049714,0.063966,0.018896,0.46286,0.41265,0.007228,0.007228,0.007228
30,0.049788,0.06358,0.018968,0.482,0.41779,0.007129,0.007129,0.007129
31,0.04964,0.063057,0.018658,0.50449,0.41949,0.00703,0.00703,0.00703
32,0.049541,0.064006,0.01848,0.47308,0.42135,0.006931,0.006931,0.006931
33,0.04917,0.062753,0.018437,0.47918,0.42639,0.006832,0.006832,0.006832
34,0.049007,0.063326,0.018226,0.52159,0.42471,0.006733,0.006733,0.006733
35,0.049171,0.063748,0.018278,0.50063,0.42976,0.006634,0.006634,0.006634
36,0.048838,0.063387,0.017917,0.49271,0.43066,0.006535,0.006535,0.006535
