               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,     metrics/mAP_0.5,               x/lr0,               x/lr1,               x/lr2
0,0.10546,0.27079,0.051117,0.015101,0.011053,0.0033282,0.0033282,0.070046
1,0.086783,0.25581,0.04334,0.44837,0.040993,0.0065956,0.0065956,0.03998
2,0.079782,0.25295,0.040693,0.36562,0.072192,0.009797,0.009797,0.0098484
3,0.071282,0.23807,0.036774,0.34225,0.11389,0.009703,0.009703,0.009703
4,0.066005,0.23158,0.03506,0.35905,0.13985,0.009703,0.009703,0.009703
5,0.063388,0.22637,0.033682,0.2802,0.14268,0.009604,0.009604,0.009604
6,0.061165,0.22063,0.032314,0.42261,0.1656,0.009505,0.009505,0.009505
7,0.059759,0.21609,0.031001,0.33316,0.18524,0.009406,0.009406,0.009406
8,0.058541,0.21069,0.030038,0.35182,0.20021,0.009307,0.009307,0.009307
9,0.057714,0.21014,0.029056,0.26566,0.21485,0.009208,0.009208,0.009208
10,0.056777,0.2088,0.02843,0.42336,0.22645,0.009109,0.009109,0.009109
11,0.056399,0.20901,0.027564,0.40704,0.2367,0.00901,0.00901,0.00901
12,0.05563,0.20545,0.02692,0.40629,0.24594,0.008911,0.008911,0.008911
13,0.055128,0.20281,0.026442,0.43269,0.25544,0.008812,0.008812,0.008812
14,0.05447,0.2028,0.025761,0.33622,0.25995,0.008713,0.008713,0.008713
15,0.054202,0.2006,0.025598,0.44545,0.26968,0.008614,0.008614,0.008614
16,0.053882,0.19964,0.024999,0.36732,0.27311,0.008515,0.008515,0.008515
17,0.053147,0.19739,0.024627,0.3383,0.27986,0.008416,0.008416,0.008416
18,0.052886,0.20047,0.024199,0.35363,0.28604,0.008317,0.008317,0.008317
19,0.052643,0.19748,0.02399,0.36951,0.29681,0.008218,0.008218,0.008218
20,0.052246,0.19723,0.02348,0.35747,0.29666,0.008119,0.008119,0.008119
21,0.052194,0.19724,0.023812,0.37781,0.30235,0.00802,0.00802,0.00802
22,0.051887,0.19465,0.023166,0.39077,0.30631,0.007921,0.007921,0.007921
23,0.05147,0.19498,0.022814,0.37962,0.31109,0.007822,0.007822,0.007822
24,0.051279,0.19454,0.022791,0.38774,0.31556,0.007723,0.007723,0.007723
25,0.050993,0.19421,0.022616,0.38958,0.32298,0.007624,0.007624,0.007624
26,0.050984,0.19252,0.022387,0.38843,0.32486,0.007525,0.007525,0.007525
27,0.050767,0.19284,0.022193,0.38546,0.32718,0.007426,0.007426,0.007426
28,0.050358,0.19061,0.021801,0.40599,0.33276,0.007327,0.007327,0.007327
29,0.050161,0.18979,0.021785,0.38351,0.33553,0.007228,0.007228,0.007228
30,0.050099,0.18873,0.02171,0.38549,0.3355,0.007129,0.007129,0.007129
31,0.049629,0.18875,0.021496,0.38793,0.33927,0.00703,0.00703,0.00703
32,0.049847,0.18981,0.021288,0.38723,0.34403,0.006931,0.006931,0.006931
33,0.049814,0.18764,0.0212,0.41917,0.34124,0.006832,0.006832,0.006832
34,0.049458,0.18988,0.020965,0.42713,0.3463,0.006733,0.006733,0.006733
35,0.049289,0.19076,0.020701,0.41673,0.34865,0.006634,0.006634,0.006634
36,0.049035,0.1884,0.020712,0.42532,0.352,0.006535,0.006535,0.006535
37,0.049085,0.18825,0.020678,0.41856,0.35026,0.006436,0.006436,0.006436
38,0.048547,0.18705,0.020341,0.43085,0.35649,0.006337,0.006337,0.006337
39,0.048575,0.1843,0.020299,0.44207,0.35709,0.006238,0.006238,0.006238
40,0.048451,0.18674,0.020106,0.42061,0.36041,0.006139,0.006139,0.006139
41,0.048301,0.18453,0.01986,0.43117,0.35891,0.00604,0.00604,0.00604
42,0.048057,0.18315,0.019791,0.44015,0.36331,0.005941,0.005941,0.005941
43,0.048175,0.185,0.019745,0.4511,0.36503,0.005842,0.005842,0.005842
44,0.048042,0.18571,0.019727,0.42977,0.36492,0.005743,0.005743,0.005743
45,0.048025,0.18472,0.019469,0.43454,0.36815,0.005644,0.005644,0.005644
46,0.047915,0.18312,0.019382,0.46049,0.36897,0.005545,0.005545,0.005545
47,0.047812,0.18299,0.019365,0.44191,0.37232,0.005446,0.005446,0.005446
48,0.047567,0.18211,0.019281,0.44946,0.36808,0.005347,0.005347,0.005347
49,0.047572,0.18186,0.019131,0.45536,0.37354,0.005248,0.005248,0.005248
50,0.047175,0.18134,0.01899,0.43059,0.37661,0.005149,0.005149,0.005149
51,0.047493,0.18354,0.019036,0.45429,0.37397,0.00505,0.00505,0.00505
52,0.047087,0.1786,0.018972,0.48364,0.37906,0.004951,0.004951,0.004951
53,0.046978,0.17901,0.018671,0.46661,0.37947,0.004852,0.004852,0.004852
54,0.046882,0.18005,0.01861,0.43788,0.38158,0.004753,0.004753,0.004753
55,0.046848,0.17851,0.018441,0.45277,0.38592,0.004654,0.004654,0.004654
56,0.046942,0.181,0.018648,0.45307,0.38316,0.004555,0.004555,0.004555
57,0.046837,0.1789,0.018365,0.46632,0.38416,0.004456,0.004456,0.004456
58,0.046519,0.17871,0.018393,0.46173,0.38708,0.004357,0.004357,0.004357
59,0.046568,0.17883,0.018177,0.4749,0.38861,0.004258,0.004258,0.004258
60,0.046437,0.17883,0.018193,0.44668,0.38643,0.004159,0.004159,0.004159
61,0.046503,0.17926,0.01815,0.47096,0.38755,0.00406,0.00406,0.00406
62,0.046297,0.17837,0.018048,0.47903,0.38872,0.003961,0.003961,0.003961
63,0.046222,0.17794,0.018113,0.46717,0.38951,0.003862,0.003862,0.003862
64,0.04621,0.17901,0.017857,0.47977,0.39068,0.003763,0.003763,0.003763
65,0.046139,0.17878,0.017847,0.47742,0.39085,0.003664,0.003664,0.003664
66,0.046132,0.17969,0.017793,0.46674,0.39325,0.003565,0.003565,0.003565
67,0.045737,0.17586,0.0175,0.45352,0.39396,0.003466,0.003466,0.003466
68,0.045542,0.176,0.017656,0.46483,0.39413,0.003367,0.003367,0.003367
69,0.045689,0.1759,0.017338,0.47015,0.39506,0.003268,0.003268,0.003268
70,0.045612,0.17546,0.017571,0.47548,0.39412,0.003169,0.003169,0.003169
71,0.045603,0.17439,0.017512,0.49,0.39521,0.00307,0.00307,0.00307
72,0.045585,0.17505,0.017311,0.4699,0.39588,0.002971,0.002971,0.002971
73,0.04539,0.17486,0.017263,0.46799,0.39714,0.002872,0.002872,0.002872
74,0.045331,0.17482,0.017158,0.44101,0.39731,0.002773,0.002773,0.002773
75,0.045322,0.17489,0.017127,0.4936,0.39733,0.002674,0.002674,0.002674
76,0.045295,0.17432,0.017108,0.48008,0.39932,0.002575,0.002575,0.002575
77,0.045039,0.17415,0.016967,0.48844,0.39971,0.002476,0.002476,0.002476
78,0.045162,0.17417,0.017075,0.47489,0.40004,0.002377,0.002377,0.002377
79,0.045088,0.17257,0.016931,0.48124,0.4014,0.002278,0.002278,0.002278
80,0.045056,0.17336,0.016942,0.47038,0.40049,0.002179,0.002179,0.002179
81,0.04486,0.17154,0.016814,0.46812,0.40018,0.00208,0.00208,0.00208
82,0.044878,0.17189,0.016732,0.48627,0.39999,0.001981,0.001981,0.001981
83,0.044916,0.17266,0.016635,0.48646,0.39905,0.001882,0.001882,0.001882
84,0.044732,0.17348,0.016579,0.46627,0.40013,0.001783,0.001783,0.001783
85,0.044807,0.1735,0.016553,0.49206,0.40031,0.001684,0.001684,0.001684
86,0.044589,0.17061,0.016581,0.49417,0.40009,0.001585,0.001585,0.001585
87,0.044678,0.17127,0.016439,0.49521,0.3995,0.001486,0.001486,0.001486
88,0.044574,0.17347,0.016381,0.49527,0.40111,0.001387,0.001387,0.001387
89,0.044582,0.17208,0.01643,0.48698,0.40144,0.001288,0.001288,0.001288
90,0.04446,0.17138,0.016241,0.49891,0.40149,0.001189,0.001189,0.001189
